EEG,t_EEG
-41.56621,10.65
-35.88977,10.66
-24.99466,10.67
-20.05066,10.68
-23.52977,10.69
-21.79022,10.7
-20.50844,10.71
-20.32533,10.72
-20.32533,10.73
-24.71999,10.74
-26.91733,10.75
-32.22755,10.76
-35.06577,10.77
-28.10755,10.78
-25.54399,10.79
-24.62844,10.8
-22.06488,10.81
-19.31822,10.82
-20.14222,10.83
-19.86755,10.84
-14.55733,10.85
-17.94488,10.86
-22.79733,10.87
-19.40977,10.88
-19.86755,10.89
-24.9031,10.9
-21.69866,10.91
-11.71911,10.92
-6.866664,10.93
-8.697775,10.94
-10.89511,10.95
-15.656,10.96
-22.24799,10.97
-22.98044,10.98
-21.69866,10.99
-16.38844,11
-11.99377,11.01
-11.62755,11.02
-8.148442,11.03
-9.155553,11.04
-8.880886,11.05
-8.606219,11.06
-8.606219,11.07
-1.190222,11.08
2.471999,11.09
2.65511,11.1
0.5493332,11.11
-3.295999,11.12
-7.141331,11.13
-9.704886,11.14
-9.887997,11.15
-11.99377,11.16
-11.62755,11.17
-10.16266,11.18
-11.81066,11.19
-14.28266,11.2
-16.11377,11.21
-17.67022,11.22
-16.29688,11.23
-12.81777,11.24
-3.204443,11.25
3.295999,11.26
1.373333,11.27
1.281777,11.28
0.6408887,11.29
1.007111,11.3
-0.2746666,11.31
-2.563555,11.32
-1.648,11.33
0.9155553,11.34
2.197333,11.35
1.007111,11.36
-0.7324442,11.37
0.4577776,11.38
1.739555,11.39
-2.197333,11.4
-4.486221,11.41
-6.775109,11.42
-11.71911,11.43
-11.26133,11.44
-7.324442,11.45
-8.78933,11.46
-4.211555,11.47
5.218665,11.48
6.95822,11.49
7.873775,11.5
11.44444,11.51
11.536,11.52
7.599109,11.53
10.34577,11.54
13.27555,11.55
13.184,11.56
14.46577,11.57
17.304,11.58
19.9591,11.59
16.11377,11.6
16.02222,11.61
13.73333,11.62
9.704886,11.63
11.71911,11.64
11.71911,11.65
12.90933,11.66
19.59288,11.67
26.27644,11.68
25.7271,11.69
28.47377,11.7
28.56532,11.71
29.38932,11.72
32.13599,11.73
30.12177,11.74
28.93155,11.75
25.45244,11.76
28.56532,11.77
32.41066,11.78
36.25599,11.79
39.27732,11.8
33.41777,11.81
27.19199,11.82
23.71288,11.83
19.77599,11.84
18.76888,11.85
19.50133,11.86
17.76177,11.87
19.22666,11.88
23.34666,11.89
24.35377,11.9
23.80444,11.91
22.4311,11.92
19.50133,11.93
16.75466,11.94
10.712,11.95
2.65511,11.96
-1.098666,11.97
-1.556444,11.98
1.739555,11.99
8.056887,12
12.45155,12.01
13.91644,12.02
15.47288,12.03
21.33244,12.04
26.09332,12.05
23.43822,12.06
21.69866,12.07
19.68444,12.08
15.10666,12.09
14.37422,12.1
13.64177,12.11
11.99377,12.12
9.247108,12.13
5.584887,12.14
-2.197333,12.15
-6.408887,12.16
1.373333,12.17
4.669332,12.18
6.225776,12.19
13.00089,12.2
17.48711,12.21
15.93066,12.22
12.26844,12.23
8.148442,12.24
-0.9155553,12.25
-7.690664,12.26
-14.37422,12.27
-17.304,12.28
-13.45866,12.29
-8.78933,12.3
-1.464888,12.31
3.662221,12.32
4.669332,12.33
3.021333,12.34
0.6408887,12.35
-7.415998,12.36
-15.74755,12.37
-16.29688,12.38
-15.10666,12.39
-13.45866,12.4
-11.62755,12.41
-10.98666,12.42
-11.90222,12.43
-13.36711,12.44
-15.47288,12.45
-17.304,12.46
-19.50133,12.47
-20.87466,12.48
-20.87466,12.49
-23.71288,12.5
-22.61422,12.51
-19.77599,12.52
-16.20533,12.53
-11.536,12.54
-16.29688,12.55
-20.14222,12.56
-19.50133,12.57
-18.49422,12.58
-17.85333,12.59
-18.40266,12.6
-21.79022,12.61
-22.98044,12.62
-20.78311,12.63
-19.86755,12.64
-14.19111,12.65
-10.34577,12.66
-5.951109,12.67
-2.929777,12.68
-3.753777,12.69
-2.65511,12.7
-0.2746666,12.71
0.9155553,12.72
-0.7324442,12.73
0.8239998,12.74
1.464888,12.75
2.197333,12.76
5.401776,12.77
8.880886,12.78
11.62755,12.79
4.211555,12.8
-1.922666,12.81
-1.281777,12.82
0.4577776,12.83
1.007111,12.84
-0.2746666,12.85
-1.007111,12.86
